algo,rtt_ms,bw_mbps,buffer_bytes,rep,goodput_mbps,retransmits
bbr,10.0,10.0,100000,1,9.54,0
bbr,10.0,10.0,100000,2,9.54,0
bbr,10.0,10.0,100000,3,9.52,0
bbr,10.0,100.0,100000,1,94.35,206
bbr,10.0,100.0,100000,2,94.46,187
bbr,10.0,100.0,100000,3,94.44,155
bbr,10.0,500.0,100000,1,468.88,171107
bbr,10.0,500.0,100000,2,470.42,175688
bbr,10.0,500.0,100000,3,468.76,179734
bbr,10.0,1000.0,100000,1,940.05,0
bbr,10.0,1000.0,100000,2,940.09,0
bbr,10.0,1000.0,100000,3,939.66,0
bbr,50.0,10.0,100000,1,9.56,72
bbr,50.0,10.0,100000,2,9.54,122
bbr,50.0,10.0,100000,3,9.59,90
bbr,50.0,100.0,100000,1,93.81,12027
bbr,50.0,100.0,100000,2,93.65,12102
bbr,50.0,100.0,100000,3,93.64,11831
bbr,50.0,500.0,100000,1,453.62,90662
bbr,50.0,500.0,100000,2,451.54,86809
bbr,50.0,500.0,100000,3,454.05,91235
bbr,50.0,1000.0,100000,1,922.38,0
bbr,50.0,1000.0,100000,2,924.09,0
bbr,50.0,1000.0,100000,3,923.49,0
bbr,100.0,10.0,100000,1,9.72,326
bbr,100.0,10.0,100000,2,9.68,572
bbr,100.0,10.0,100000,3,9.72,424
bbr,100.0,100.0,100000,1,90.58,12637
bbr,100.0,100.0,100000,2,91.52,15043
bbr,100.0,100.0,100000,3,91.02,15344
bbr,100.0,500.0,100000,1,425.84,79727
bbr,100.0,500.0,100000,2,406.27,79050
bbr,100.0,500.0,100000,3,409.00,78598
bbr,100.0,1000.0,100000,1,841.65,0
bbr,100.0,1000.0,100000,2,847.83,0
bbr,100.0,1000.0,100000,3,847.84,0
bbr,200.0,10.0,100000,1,9.94,520
bbr,200.0,10.0,100000,2,9.93,508
bbr,200.0,10.0,100000,3,9.94,598
bbr,200.0,100.0,100000,1,87.29,14716
bbr,200.0,100.0,100000,2,87.27,14651
bbr,200.0,100.0,100000,3,87.19,14204
bbr,200.0,500.0,100000,1,311.72,43949
bbr,200.0,500.0,100000,2,307.54,44305
bbr,200.0,500.0,100000,3,308.26,47326
bbr,200.0,1000.0,100000,1,406.17,0
bbr,200.0,1000.0,100000,2,413.71,0
bbr,200.0,1000.0,100000,3,410.88,0
bbr,10.0,10.0,10000000,1,9.52,0
bbr,10.0,10.0,10000000,2,9.52,0
bbr,10.0,10.0,10000000,3,9.54,0
bbr,10.0,100.0,10000000,1,94.47,0
bbr,10.0,100.0,10000000,2,94.42,0
bbr,10.0,100.0,10000000,3,94.51,0
bbr,10.0,500.0,10000000,1,471.01,0
bbr,10.0,500.0,10000000,2,470.72,0
bbr,10.0,500.0,10000000,3,470.78,0
bbr,10.0,1000.0,10000000,1,940.11,0
bbr,10.0,1000.0,10000000,2,939.76,0
bbr,10.0,1000.0,10000000,3,939.82,0
bbr,50.0,10.0,10000000,1,9.56,0
bbr,50.0,10.0,10000000,2,9.58,0
bbr,50.0,10.0,10000000,3,9.59,0
bbr,50.0,100.0,10000000,1,95.30,0
bbr,50.0,100.0,10000000,2,95.73,0
bbr,50.0,100.0,10000000,3,95.19,0
bbr,50.0,500.0,10000000,1,463.98,0
bbr,50.0,500.0,10000000,2,469.25,0
bbr,50.0,500.0,10000000,3,464.51,0
bbr,50.0,1000.0,10000000,1,925.07,0
bbr,50.0,1000.0,10000000,2,924.79,0
bbr,50.0,1000.0,10000000,3,923.63,0
bbr,100.0,10.0,10000000,1,9.75,0
bbr,100.0,10.0,10000000,2,9.75,0
bbr,100.0,10.0,10000000,3,9.75,0
bbr,100.0,100.0,10000000,1,94.58,0
bbr,100.0,100.0,10000000,2,93.43,0
bbr,100.0,100.0,10000000,3,93.83,0
bbr,100.0,500.0,10000000,1,455.89,0
bbr,100.0,500.0,10000000,2,458.32,0
bbr,100.0,500.0,10000000,3,460.38,0
bbr,100.0,1000.0,10000000,1,845.13,0
bbr,100.0,1000.0,10000000,2,845.53,0
bbr,100.0,1000.0,10000000,3,850.73,0
bbr,200.0,10.0,10000000,1,9.79,0
bbr,200.0,10.0,10000000,2,9.80,0
bbr,200.0,10.0,10000000,3,9.84,0
bbr,200.0,100.0,10000000,1,89.65,0
bbr,200.0,100.0,10000000,2,90.84,0
bbr,200.0,100.0,10000000,3,91.61,0
bbr,200.0,500.0,10000000,1,395.51,0
bbr,200.0,500.0,10000000,2,400.07,0
bbr,200.0,500.0,10000000,3,383.58,0
bbr,200.0,1000.0,10000000,1,406.52,0
bbr,200.0,1000.0,10000000,2,407.97,0
bbr,200.0,1000.0,10000000,3,409.34,0
cubic,10.0,10.0,100000,1,9.65,73
cubic,10.0,10.0,100000,2,9.61,40
cubic,10.0,10.0,100000,3,9.68,75
cubic,10.0,100.0,100000,1,95.72,359
cubic,10.0,100.0,100000,2,95.73,365
cubic,10.0,100.0,100000,3,95.75,397
cubic,10.0,500.0,100000,1,355.00,949
cubic,10.0,500.0,100000,2,359.32,943
cubic,10.0,500.0,100000,3,363.27,928
cubic,10.0,1000.0,100000,1,955.74,0
cubic,10.0,1000.0,100000,2,955.98,0
cubic,10.0,1000.0,100000,3,955.98,0
cubic,50.0,10.0,100000,1,9.73,99
cubic,50.0,10.0,100000,2,9.72,104
cubic,50.0,10.0,100000,3,9.72,104
cubic,50.0,100.0,100000,1,82.91,117
cubic,50.0,100.0,100000,2,84.06,132
cubic,50.0,100.0,100000,3,84.64,150
cubic,50.0,500.0,100000,1,264.10,345
cubic,50.0,500.0,100000,2,244.40,374
cubic,50.0,500.0,100000,3,263.41,381
cubic,50.0,1000.0,100000,1,946.56,0
cubic,50.0,1000.0,100000,2,946.83,0
cubic,50.0,1000.0,100000,3,946.54,0
cubic,100.0,10.0,100000,1,9.79,138
cubic,100.0,10.0,100000,2,9.84,69
cubic,100.0,10.0,100000,3,9.77,53
cubic,100.0,100.0,100000,1,72.82,151
cubic,100.0,100.0,100000,2,73.22,188
cubic,100.0,100.0,100000,3,77.12,304
cubic,100.0,500.0,100000,1,212.03,301
cubic,100.0,500.0,100000,2,225.70,157
cubic,100.0,500.0,100000,3,201.99,260
cubic,100.0,1000.0,100000,1,862.82,0
cubic,100.0,1000.0,100000,2,863.22,0
cubic,100.0,1000.0,100000,3,862.77,0
cubic,200.0,10.0,100000,1,9.66,160
cubic,200.0,10.0,100000,2,9.65,148
cubic,200.0,10.0,100000,3,9.89,218
cubic,200.0,100.0,100000,1,64.64,312
cubic,200.0,100.0,100000,2,66.30,136
cubic,200.0,100.0,100000,3,66.15,323
cubic,200.0,500.0,100000,1,107.74,245
cubic,200.0,500.0,100000,2,101.66,145
cubic,200.0,500.0,100000,3,100.63,206
cubic,200.0,1000.0,100000,1,427.30,0
cubic,200.0,1000.0,100000,2,426.74,0
cubic,200.0,1000.0,100000,3,426.97,0
cubic,10.0,10.0,10000000,1,10.64,2246
cubic,10.0,10.0,10000000,2,11.17,1197
cubic,10.0,10.0,10000000,3,10.36,2606
cubic,10.0,100.0,10000000,1,97.20,602
cubic,10.0,100.0,10000000,2,97.60,597
cubic,10.0,100.0,10000000,3,97.62,598
cubic,10.0,500.0,10000000,1,479.22,443
cubic,10.0,500.0,10000000,2,479.40,389
cubic,10.0,500.0,10000000,3,479.54,399
cubic,10.0,1000.0,10000000,1,955.64,0
cubic,10.0,1000.0,10000000,2,955.70,0
cubic,10.0,1000.0,10000000,3,956.18,0
cubic,50.0,10.0,10000000,1,10.03,3785
cubic,50.0,10.0,10000000,2,10.45,2556
cubic,50.0,10.0,10000000,3,11.01,3470
cubic,50.0,100.0,10000000,1,96.55,641
cubic,50.0,100.0,10000000,2,96.45,639
cubic,50.0,100.0,10000000,3,96.34,645
cubic,50.0,500.0,10000000,1,473.70,150
cubic,50.0,500.0,10000000,2,473.49,200
cubic,50.0,500.0,10000000,3,473.46,185
cubic,50.0,1000.0,10000000,1,946.81,0
cubic,50.0,1000.0,10000000,2,946.28,0
cubic,50.0,1000.0,10000000,3,946.56,0
cubic,100.0,10.0,10000000,1,9.93,5190
cubic,100.0,10.0,10000000,2,10.00,5238
cubic,100.0,10.0,10000000,3,10.19,2953
cubic,100.0,100.0,10000000,1,95.54,664
cubic,100.0,100.0,10000000,2,95.26,684
cubic,100.0,100.0,10000000,3,95.63,677
cubic,100.0,500.0,10000000,1,468.76,0
cubic,100.0,500.0,10000000,2,468.63,0
cubic,100.0,500.0,10000000,3,468.09,0
cubic,100.0,1000.0,10000000,1,862.98,0
cubic,100.0,1000.0,10000000,2,865.34,0
cubic,100.0,1000.0,10000000,3,863.99,0
